id,QID,titleSlug,title,url,topic,tags,difficulty,type,prompt,examples_json,constraints,function_signature,choices_json,answer,explanation
lc-0105,105,construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree From Preorder And Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,tree,tree,medium,coding,,,,,,,
lc-0106,106,construct-binary-tree-from-inorder-and-postorder-traversal,Construct Binary Tree From Inorder And Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,tree,tree,unknown,coding,,,,,,,
lc-0107,107,binary-tree-level-order-traversal-ii,Binary Tree Level Order Traversal Ii,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,tree,tree,unknown,coding,,,,,,,
lc-0108,108,convert-sorted-array-to-binary-search-tree,Convert Sorted Array To Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,tree,tree,easy,coding,,,,,,,
lc-0109,109,convert-sorted-list-to-binary-search-tree,Convert Sorted List To Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,tree,tree,unknown,coding,,,,,,,
lc-0110,110,balanced-binary-tree,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,tree,tree,easy,coding,,,,,,,
lc-0111,111,minimum-depth-of-binary-tree,Minimum Depth Of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,tree,tree,unknown,coding,,,,,,,
lc-0112,112,path-sum,Path Sum,https://leetcode.com/problems/path-sum/,unknown,,easy,coding,,,,,,,
lc-0113,113,path-sum-ii,Path Sum Ii,https://leetcode.com/problems/path-sum-ii/,unknown,,unknown,coding,,,,,,,
lc-0114,114,flatten-binary-tree-to-linked-list,Flatten Binary Tree To Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,linked_list,linked_list,unknown,coding,,,,,,,
lc-0115,115,distinct-subsequences,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,unknown,,unknown,coding,,,,,,,
lc-0116,116,populating-next-right-pointers-in-each-node,Populating Next Right Pointers In Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,unknown,,unknown,coding,,,,,,,
lc-0117,117,populating-next-right-pointers-in-each-node-ii,Populating Next Right Pointers In Each Node Ii,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,unknown,,unknown,coding,,,,,,,
lc-0118,118,pascals-triangle,Pascals Triangle,https://leetcode.com/problems/pascals-triangle/,unknown,,unknown,coding,,,,,,,
lc-0119,119,pascals-triangle-ii,Pascals Triangle Ii,https://leetcode.com/problems/pascals-triangle-ii/,unknown,,unknown,coding,,,,,,,
lc-0120,120,triangle,Triangle,https://leetcode.com/problems/triangle/,unknown,,unknown,coding,,,,,,,
lc-0121,121,best-time-to-buy-and-sell-stock,Best Time To Buy And Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,unknown,,easy,coding,,,,,,,
lc-0122,122,best-time-to-buy-and-sell-stock-ii,Best Time To Buy And Sell Stock Ii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,unknown,,medium,coding,,,,,,,
lc-0123,123,best-time-to-buy-and-sell-stock-iii,Best Time To Buy And Sell Stock Iii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,unknown,,hard,coding,,,,,,,
lc-0124,124,binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,tree,tree,hard,coding,,,,,,,
lc-0125,125,valid-palindrome,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,strings,strings,unknown,coding,,,,,,,
lc-0126,126,word-ladder-ii,Word Ladder Ii,https://leetcode.com/problems/word-ladder-ii/,unknown,,unknown,coding,,,,,,,
lc-0127,127,word-ladder,Word Ladder,https://leetcode.com/problems/word-ladder/,unknown,,hard,coding,,,,,,,
lc-0128,128,longest-consecutive-sequence,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,unknown,,medium,coding,,,,,,,
lc-0129,129,sum-root-to-leaf-numbers,Sum Root To Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,unknown,,unknown,coding,,,,,,,
lc-0130,130,surrounded-regions,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,unknown,,unknown,coding,,,,,,,
lc-0131,131,palindrome-partitioning,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,strings,strings,unknown,coding,,,,,,,
lc-0132,132,palindrome-partitioning-ii,Palindrome Partitioning Ii,https://leetcode.com/problems/palindrome-partitioning-ii/,strings,strings,unknown,coding,,,,,,,
lc-0133,133,clone-graph,Clone Graph,https://leetcode.com/problems/clone-graph/,graph,graph,unknown,coding,,,,,,,
lc-0134,134,gas-station,Gas Station,https://leetcode.com/problems/gas-station/,unknown,,unknown,coding,,,,,,,
lc-0135,135,candy,Candy,https://leetcode.com/problems/candy/,unknown,,unknown,coding,,,,,,,
lc-0136,136,single-number,Single Number,https://leetcode.com/problems/single-number/,unknown,,unknown,coding,,,,,,,
lc-0137,137,single-number-ii,Single Number Ii,https://leetcode.com/problems/single-number-ii/,unknown,,unknown,coding,,,,,,,
lc-0138,138,copy-list-with-random-pointer,Copy List With Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,unknown,,unknown,coding,,,,,,,
lc-0139,139,word-break,Word Break,https://leetcode.com/problems/word-break/,unknown,,medium,coding,,,,,,,
lc-0140,140,word-break-ii,Word Break Ii,https://leetcode.com/problems/word-break-ii/,unknown,,unknown,coding,,,,,,,
lc-0141,141,linked-list-cycle,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,linked_list,linked_list,easy,coding,,,,,,,
lc-0142,142,linked-list-cycle-ii,Linked List Cycle Ii,https://leetcode.com/problems/linked-list-cycle-ii/,linked_list,linked_list,unknown,coding,,,,,,,
lc-0143,143,reorder-list,Reorder List,https://leetcode.com/problems/reorder-list/,linked_list,linked_list,medium,coding,,,,,,,
lc-0144,144,binary-tree-preorder-traversal,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,tree,tree,unknown,coding,,,,,,,
lc-0145,145,binary-tree-postorder-traversal,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,tree,tree,unknown,coding,,,,,,,
lc-0146,146,lru-cache,Lru Cache,https://leetcode.com/problems/lru-cache/,unknown,,medium,coding,,,,,,,
lc-0147,147,insertion-sort-list,Insertion Sort List,https://leetcode.com/problems/insertion-sort-list/,unknown,,unknown,coding,,,,,,,
lc-0148,148,sort-list,Sort List,https://leetcode.com/problems/sort-list/,unknown,,unknown,coding,,,,,,,
lc-0149,149,max-points-on-a-line,Max Points On A Line,https://leetcode.com/problems/max-points-on-a-line/,unknown,,unknown,coding,,,,,,,
lc-0150,150,evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,unknown,,medium,coding,,,,,,,
lc-0151,151,reverse-words-in-a-string,Reverse Words In A String,https://leetcode.com/problems/reverse-words-in-a-string/,strings,strings,unknown,coding,,,,,,,
lc-0152,152,maximum-product-subarray,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,arrays,arrays,medium,coding,,,,,,,
lc-0153,153,find-minimum-in-rotated-sorted-array,Find Minimum In Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,arrays,arrays,unknown,coding,,,,,,,
lc-0154,154,find-minimum-in-rotated-sorted-array-ii,Find Minimum In Rotated Sorted Array Ii,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,arrays,arrays,unknown,coding,,,,,,,
lc-0155,155,min-stack,Min Stack,https://leetcode.com/problems/min-stack/,unknown,,medium,coding,,,,,,,
lc-0156,156,binary-tree-upside-down,Binary Tree Upside Down,https://leetcode.com/problems/binary-tree-upside-down/,tree,tree,unknown,coding,,,,,,,
lc-0157,157,read-n-characters-given-read4,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4/,unknown,,unknown,coding,,,,,,,
lc-0158,158,read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given Read4 Ii Call Multiple Times,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times/,unknown,,unknown,coding,,,,,,,
lc-0159,159,longest-substring-with-at-most-two-distinct-characters,Longest Substring With At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,strings,"strings,sliding_window",unknown,coding,,,,,,,
lc-0160,160,intersection-of-two-linked-lists,Intersection Of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,linked_list,linked_list,unknown,coding,,,,,,,
lc-0161,161,one-edit-distance,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,unknown,,unknown,coding,,,,,,,
lc-0162,162,find-peak-element,Find Peak Element,https://leetcode.com/problems/find-peak-element/,unknown,,unknown,coding,,,,,,,
lc-0163,163,missing-ranges,Missing Ranges,https://leetcode.com/problems/missing-ranges/,unknown,,unknown,coding,,,,,,,
lc-0164,164,maximum-gap,Maximum Gap,https://leetcode.com/problems/maximum-gap/,unknown,,unknown,coding,,,,,,,
lc-0165,165,compare-version-numbers,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,unknown,,unknown,coding,,,,,,,
lc-0166,166,fraction-to-recurring-decimal,Fraction To Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,unknown,,unknown,coding,,,,,,,
lc-0167,167,two-sum-ii-input-array-is-sorted,Two Sum Ii Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,hashmap,"arrays,two_pointers,hashmap",unknown,coding,,,,,,,
lc-0168,168,excel-sheet-column-title,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,unknown,,unknown,coding,,,,,,,
lc-0169,169,majority-element,Majority Element,https://leetcode.com/problems/majority-element/,unknown,,unknown,coding,,,,,,,
lc-0170,170,two-sum-iii-data-structure-design,Two Sum Iii Data Structure Design,https://leetcode.com/problems/two-sum-iii-data-structure-design/,hashmap,"arrays,two_pointers,hashmap",unknown,coding,,,,,,,
lc-0171,171,excel-sheet-column-number,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,unknown,,unknown,coding,,,,,,,
lc-0172,172,factorial-trailing-zeroes,Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/,unknown,,unknown,coding,,,,,,,
lc-0173,173,binary-search-tree-iterator,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,tree,tree,unknown,coding,,,,,,,
lc-0174,174,dungeon-game,Dungeon Game,https://leetcode.com/problems/dungeon-game/,unknown,,unknown,coding,,,,,,,
lc-0175,175,combine-two-tables,Combine Two Tables,https://leetcode.com/problems/combine-two-tables/,unknown,,unknown,coding,,,,,,,
lc-0176,176,second-highest-salary,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,unknown,,unknown,coding,,,,,,,
lc-0177,177,nth-highest-salary,Nth Highest Salary,https://leetcode.com/problems/nth-highest-salary/,unknown,,unknown,coding,,,,,,,
lc-0178,178,rank-scores,Rank Scores,https://leetcode.com/problems/rank-scores/,unknown,,unknown,coding,,,,,,,
lc-0179,179,largest-number,Largest Number,https://leetcode.com/problems/largest-number/,unknown,,unknown,coding,,,,,,,
lc-0180,180,consecutive-numbers,Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers/,unknown,,unknown,coding,,,,,,,
lc-0181,181,employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,unknown,,unknown,coding,,,,,,,
lc-0182,182,duplicate-emails,Duplicate Emails,https://leetcode.com/problems/duplicate-emails/,unknown,,unknown,coding,,,,,,,
lc-0183,183,customers-who-never-order,Customers Who Never Order,https://leetcode.com/problems/customers-who-never-order/,unknown,,unknown,coding,,,,,,,
lc-0184,184,department-highest-salary,Department Highest Salary,https://leetcode.com/problems/department-highest-salary/,unknown,,unknown,coding,,,,,,,
lc-0185,185,department-top-three-salaries,Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries/,unknown,,unknown,coding,,,,,,,
lc-0186,186,reverse-words-in-a-string-ii,Reverse Words In A String Ii,https://leetcode.com/problems/reverse-words-in-a-string-ii/,strings,strings,unknown,coding,,,,,,,
lc-0187,187,repeated-dna-sequences,Repeated Dna Sequences,https://leetcode.com/problems/repeated-dna-sequences/,unknown,,unknown,coding,,,,,,,
lc-0188,188,best-time-to-buy-and-sell-stock-iv,Best Time To Buy And Sell Stock Iv,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,unknown,,unknown,coding,,,,,,,
lc-0189,189,rotate-array,Rotate Array,https://leetcode.com/problems/rotate-array/,arrays,arrays,medium,coding,,,,,,,
lc-0190,190,reverse-bits,Reverse Bits,https://leetcode.com/problems/reverse-bits/,bit,bit,unknown,coding,,,,,,,
lc-0191,191,number-of-1-bits,Number Of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,bit,bit,unknown,coding,,,,,,,
lc-0192,192,word-frequency,Word Frequency,https://leetcode.com/problems/word-frequency/,unknown,,unknown,coding,,,,,,,
lc-0193,193,valid-phone-numbers,Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers/,unknown,,unknown,coding,,,,,,,
